#name	name2
NM_001270655	Ntrk3
NM_019248	Ntrk3
NM_001270656	Ntrk3
NM_017065	Gabrb3
NM_031069	Nell1
NM_001008368	Sirt2
NM_001106284	Lrrc51
NM_001039611	Nsmce1
NM_001012742	Wee1
NM_001107611	Rbm20
NM_001105731	Prkg1
NM_001024899	Sufu
NM_013070	Utrn
NM_001108458	Ust
NM_080894	Pde7b
NM_001107515	Hebp2
NM_001039722	Slc6a19
NM_001190999	Plekhg1
NM_012689	Esr1
NM_001038601	Oprm1
NM_001038600	Oprm1
NR_027877	Oprm1
NM_001101008	LOC683722
NM_133406	Agpat4
NM_020093	Park2
NM_001025131	Sult2a2
NM_021677	Psgb1
NM_001106231	Ppm1n
NM_017156	Cyp2b12
NM_031139	Usf2
NM_001099476	Vom2r38
NM_031013	Abcc6
NM_053557	Prmt3
NM_001039037	Zdhhc13
NM_199088	Tsks
NM_001127504	Gas2
NM_001106268	Chsy1
NM_001106271	Akap13
NM_177481	Slco3a1
NM_031238	Sh3gl3
NM_053863	Slc28a1
NM_053554	Picalm
NM_022282	Dlg2
NM_001107535	Tyr
NM_001013896	Tmem135
NM_001191628	Tenm4
NM_001107536	Uvrag
NM_139112	Lmo1
NM_001107542	Usp47
NM_001024751	Sox6
NM_172067	Spon1
NM_001172305	Prkcb
NM_012713	Prkcb
NM_001106304	Gprc5b
NM_001106300	Ate1
NM_001013193	Tial1
NM_001108923	Inpp5a
NM_032073	Kcnq1
NM_201350	Shank2
NM_134380	Ust5r
NM_001024974	RGD1311863
NM_001100975	Vps13a
NM_001191562	Trpm3
NM_053823	Pcsk5
NM_001107585	Uhrf2
NM_001013152	Rcl1
NM_013155	Vldlr
NM_001037793	Dock8
NM_053773	Tjp2
NM_001191636	Myof
NM_133400	A1cf
NM_017158	Cyp2c7
NM_001135762	Hpse2
NM_001106359	Wnt8b
NM_001007148	Btrc
NM_017365	Pdlim1
NM_134401	Crtac1
NM_001191563	Sorcs1
NM_001106367	Sorcs3
NM_001107606	Sh3pxd2a
NM_001047087	Eif3a
NM_001191052	Tcf7l2
NM_001099461	Vom2r1
NM_001108457	Ppil4
NM_001108901	Samd5
NM_030843	Stxbp5
NM_178346	Stxbp5
NM_178345	Stxbp5
NM_001276762	Epm2a
NM_001107470	Shprh
NM_017011	Grm1
NM_001114330	Grm1
NM_214458	Phactr2
NM_001134425	Aig1
NM_024137	Hivep2
NM_001135859	Txlnb
NM_001106264	Reps1
NM_001198638	Map7
NM_001106270	Map7
NM_001277694	Map3k5
NM_001002277	Ahi1
NM_001029902	Ptprk
NM_001170575	Arhgap18
NM_001109135	Tmem200a
NM_001195606	Smlr1
NM_001001801	Akap7
NM_019370	Enpp3
NM_021869	Stx7
NM_053535	Enpp1
NM_001107451	Slc2a12
NM_021666	Trdn
NM_001044295	Tpd52l1
NM_198051	Trmt11
NM_001100990	Rspo3
NM_001107454	Nkd2
NM_001107453	Brd9
NM_001024285	Ahrr
NM_130428	Sdha
NM_012694	Slc6a3
NM_133425	Ppp1r14c
NM_001108462	Mthfd1l
NM_001040128	Rmnd1
NM_057103	Akap12
NM_001107459	Rgs17
NM_001012061	Cnksr3
NM_139094	Scaf8
NM_001004216	Nox3
NM_181474	Tfb1m
NM_001039343	Zdhhc14
NM_001038615	Fndc1
NM_001127560	Sytl3
NM_019230	Slc22a3
NM_012756	Igf2r
NM_001115021	Qk
NM_001077677	Pacrg
NM_022236	Pde10a
NM_001008302	Sft2d1
NM_057128	Rps6ka2
NM_013217	Mllt4
NM_001107464	Dact2
NM_001106215	Smoc2
NM_001004198	Tbp
NM_001169138	Thbs2
NM_133574	Lnpep
NM_001113403	Lnpep
NM_001106214	Lix1
NM_001135720	LOC688452
NM_001169140	Fpr-rs3
NM_001099469	Vom2r10
NM_057140	Ppp2r1a
NM_001107467	Zfp51
NM_001099489	Vom2r13
NM_001099488	Vom2r12
NM_173318	Vom2r18
NM_001099656	Vom2r22
NM_001006968	Tsen34
NM_001106220	Nlrp4a
NM_001107473	Zim1
NM_001108465	Usp29
NM_001271115	Dnaaf3
NM_001134545	Ssc5d
NM_139261	Hspbp1
NM_181479	Kir3dl1
NM_001029928	Lair1
NM_001106225	Ttyh1
NM_001099496	Vom2r29
NM_001025002	LOC310926
NM_173319	Vom2r31
NM_173315	Vom2r32
NM_001108470	Mzf1
NM_001024775	Zfp110
NM_012695	Sult2a6
NM_207591	Gltscr2
NM_001271132	Arhgap35
NM_022952	Ap2s1
NM_001106229	Ccdc61
NM_001100830	Sympk
NM_001172809	Ercc2
NM_001012064	Pvrl2
NM_001169579	Ceacam16
NM_021694	Arhgef1
NM_031508	Grik5
NM_001135742	Irgq
NM_053628	Megf8
NM_001107493	Exosc5
NM_173294	Cyp2b3
NM_012787	Cyp2g1
NM_001100845	Sptbn4
NM_017093	Akt2
NM_001012065	Adck4
NM_012693	Cyp2a2
NM_001164656	Fcgbpl1
NM_130824	Rasgrp4
NM_001082549	Spint2
NM_031675	Actn4
NM_199087	Spint2
NM_001098240	Mpv17l
NM_001191623	Wdr62
NM_001100991	Zfp14
NM_001127579	RGD1565712
NM_172317	Fxyd3
NM_001106246	Gpatch1
NM_001107504	Chst8
NM_012831	Cebpg
NM_001127599	Cep89
NM_001009641	Pepd
NM_001106248	Zfp507
NM_001107507	Uri1
NM_001100821	Ccne1
NM_023098	Nup62
NM_001270985	Ppfia3
NM_001039665	Sult2b1
NM_022797	Grin2d
NM_212521	Ush1c
NM_138529	Nav2
NM_203334	Slc6a5
NM_053427	Slc17a6
NM_001107518	Nipa2
NM_001271493	LOC100365773
NM_001107520	Herc2
NM_024370	Gabrg3
NM_017295	Gabra5
NM_001191837	Ube3a
NM_001141935	Atp10a
NM_012832	Chrna7
NM_031780	Apba2
NM_001037734	Trpm1
NM_001037733	Trpm1
NM_001100846	Mtmr10
NM_012999	Pcsk6
NM_001014020	Tarsl2
NM_153300	Aldh1a3
NM_001191624	Lrrk1
NM_001127561	Cers3
NM_001108915	Asb7
NM_001025681	Ttc23
NM_001108486	Lrrc28
NM_052807	Igf1r
NM_001191625	Mctp2
NM_001107524	Rgma
NM_001107523	Chd2
NM_057207	Sv2b
NM_001106274	Rlbp1
NM_001040186	Mfge8
NM_012811	Mfge8
NM_001107527	Man2a2
NM_001115039	Ap3s2
NM_001191949	Wdr93
NM_001106272	Zfp592
NM_001108489	Iqgap1
NM_001011932	Btbd1
NM_001106276	Cpeb1
NM_001191627	Fsd2
NM_198767	Pde8a
NM_053309	Homer2
NM_001107534	Eftud1
NM_001107533	Adamtsl3
NM_001105749	Il16
NM_001170432	Tmc3
NM_012781	Arnt2
NM_001007630	Zfand6
NM_173317	Vom2r40
NM_053524	Nox4
NM_057185	Folh1
NM_017012	Grm5
NM_145774	Rab38
NM_001108491	Me3
NM_001013897	l7Rn6
NM_001024885	Ccdc90b
NM_053417	Gab2
NM_017198	Pak1
NM_001108493	Aamdc
NM_001034921	Nars2
NM_130737	Gucy2d
NM_153473	Myo7a
NM_012910	Arrb1
NM_017204	Map6
NM_080786	Slco2b1
NM_001191602	C2cd3
NM_053366	Rab6a
NM_001108494	Fam168a
NM_198775	P4ha3
NM_001005885	Dnajb13
NM_001107539	Fchsd2
NM_031079	Pde2a
NM_001143847	Pde2a
NM_001270604	Pde2a
NM_001108496	Stim1
NM_031074	Nup98
NM_001107540	Rnf121
NM_001000136	Olr83
NM_033234	Hbb
NM_001100582	Ppfibp2
NM_001001037	Olr250
NM_053324	Syt9
NM_001106290	Rpl27a
NM_001107547	St5
NM_001134970	RGD1559442
NM_001105211	Mrvi1
NM_031544	Ampd3
NM_001106288	Swap70
NM_001105210	Mrvi1
NM_001079884	Galnt18
NM_001198589	Tead1
NM_001139508	Mical2
NM_020656	Parva
NM_001014022	Btbd10
NM_080781	Copb1
NM_001013434	Rras2
NM_017229	Pde3b
NM_001106285	Insc
NM_001108500	Pik3c2a
NM_001108501	Ccp110
NM_017082	Umod
NM_181695	Acsm4
NM_001079706	Exnef
NM_144748	Acsm2a
NM_001106293	Abca15
NM_181370	Hs3st2
NM_017100	Plk1
NM_001159493	Ears2
NM_001107548	Usp31
NM_022244	Arhgap17
NM_080691	Cacng3
NM_001270692	Arhgap17
NM_001270694	Arhgap17
NM_001270693	Arhgap17
NM_001012469	Il21r
NM_001011935	Xpo6
NM_001134574	LOC361646
NM_001009645	Kif22
NM_001109154	Apobr
NM_198736	Kctd13
NM_001107552	Fbxl19
NM_001109156	Prss53
NM_001191631	Ppapdc1a
NM_001039608	RGD1306730
NM_001109894	Fgfr2
NM_012712	Fgfr2
NM_001109896	Fgfr2
NM_001109895	Fgfr2
NM_001109893	Fgfr2
NM_001109892	Fgfr2
NM_022849	Dmbt1
NM_001004418	Tacc2
NM_001004415	Tacc2
NM_022849	Dmbt1
NM_001107555	Ikzf5
NM_001009706	Lhpp
NM_001008347	Fank1
NM_001012068	Uros
NM_001143858	Dock1
NM_001143803	LOC100233213
NM_053767	Ptpre
NM_001108506	Ebf3
NM_012861	Mgmt
NM_001130077	Tcerg1l
NM_001163277	Jakmip3
NM_001025058	Syce1
NM_031811	Taldo1
NM_001033691	Irf7
NM_001106319	Cars
NM_001015024	Osbpl5
NM_181480	Nadsyn1
NM_001107564	Ano1
NM_133441	Shank2
NM_001177828	LOC100364769
NM_001004133	Shank2
NM_133440	Shank2
NM_001287134	Ppp6r3
NM_001106321	Lrp5
NM_001006998	Aldh3b1
NM_172327	Aip
NM_001108515	Kdm2a
NM_019167	Sptbn2
NM_133424	Actn3
NM_001008305	Eif1ad
NM_001108516	Dpf2
NM_134406	Pacs1
NM_001034943	Slc22a12
NM_001082977	Rasgrp2
NM_001011939	Ehd1
NM_053610	Prdx5
NM_139337	Macrod1
NM_001039007	Hrasls5
NM_001109161	RGD1560108
NM_021699	Mark2
NM_134379	UST4r
NM_031704	Stx5
NM_001191951	Ahnak
NM_001168661	LOC690344
NM_138908	Slc22a25
NM_001106335	Incenp
NM_001008371	Sdhaf2
NM_001108927	Osbp
NM_031124	Stx3
NM_001169120	Zfp91
NM_001000760	Olr331
NM_001000261	Olr379
NM_019141	Tle4
NM_031036	Gnaq
NM_001013151	Gna14
NM_198738	Psat1
NM_001270958	Rorb
NM_022407	Aldh1a1
NM_001108521	Tmc1
NM_017272	Aldh1a7
NM_001107596	Tmem2
NM_001014028	Abhd17b
NM_031779	Apba1
NM_001109164	RGD1560242
NM_001191953	Pgm5
NM_001012743	Pip5k1b
NM_001037197	Kank1
NM_053706	Dmrt1
NM_001004446	Smarca2
NM_001025036	LOC499339
NM_001012172	Rfx3
NM_013032	Slc1a1
NM_053646	Asah2
NM_001035002	Atad1
NM_181386	Sgms1
NM_001014167	Rnls
NM_001106374	Lipk
NM_001107609	Kif20b
NM_001106373	Pank1
NM_001129882	Pcgf5
NM_022938	Htr7
NM_001169112	Kif11
NM_013159	Ide
NM_053758	Plce1
NM_001108522	Pde6c
NM_145769	Lgi1
NM_001271354	Cyp2c24
NM_001191898	Tll2
NM_001025767	Blnk
NM_022953	Slit1
NM_001108525	Cutc
NM_001106368	Pik3ap1
NM_012571	Got1
NM_040669	Hps1
NM_001024975	Morn4
NM_001106353	Erlin1
NM_001106361	Pax2
NM_001008349	Nfkb2
NM_001013905	Dpcd
NM_001191634	Gbf1
NM_001107600	Fbxw4
NM_001011942	Cnnm2
NM_080890	As3mt
NM_001107604	Pdcd11
NM_022700	Arl3
NM_001127484	Wbp1l
NM_001007602	Gsto1
NM_019349	Slk
NM_031552	Add3
NM_013160	Mxi1
NM_131913	Xpnpep1
NM_001164103	Add3
NM_023101	Vti1a
NM_001106200	Tectb
NM_001107443	Nrap
NM_001113743	Nrap
NM_012959	Gfra1
NM_001079705	RGD1311558
NM_013031	Slc18a2
NM_001107447	Rab11fip2
NM_030829	Grk5
NM_001099457	Vom2r2
NM_001099460	Vom2r3
NM_001099458	Vom2r4
NM_001099459	Vom2r6
NM_001099462	Vom2r5
NM_001161691	LOC679825
NM_001013063	Raet1l
NM_013073	Pcmt1
NM_001106217	Lrp11
NM_001004217	Katna1
NM_001134543	Lats1
NM_001107469	Zc3h12d
NM_001012062	Tab2
NM_001108902	Rab32
NM_001007690	Fbxo30
NM_001025638	Stx11
NM_001126092	Sf3b5
NM_012760	Plagl1
NM_001014157	Ltv1
NM_001271310	Zc2hc1b
NM_001004218	Fuca2
NM_031350	Pex3
NM_001115028	Adat2
NM_001197092	Gje1
NM_001025640	Vta1
NM_012799	Nmbr
NM_053698	Cited2
NM_001107514	Heca
NM_001099647	Abracl
NM_001037789	Ccdc28a
NM_001106265	Perp
NM_001106269	Olig3
NM_053783	Ifngr1
NM_001003404	Il22ra2
NM_001107521	Il20ra
NM_001107522	Slc35d3
NM_001034147	Pex7
NM_001290110	LOC100911069
NM_001047852	Bclaf1
NM_001011934	Hbs1l
NM_001191088	Aldh8a1
NM_001172116	Samd3
NM_017134	Arg1
NM_001277054	Med23
NM_022266	Ctgf
NM_175599	Taar8a
NM_175602	Taar9
NM_175601	Taar8b
NM_175600	Taar8c
NM_001009532	Taar3
NM_175585	Taar7a
NM_175584	Taar6
NM_175583	Taar4
NM_001009650	Taar5
NM_001009975	Taar7c
NM_175591	Taar7d
NM_175590	Taar7e
NM_175588	Taar7g
NM_175587	Taar7h
NM_175586	Taar7b
NM_134328	Taar1
NM_001025623	Vnn1
NM_001109136	Vnn3
NM_001008512	Taar2
NM_031709	Rps12
NR_110684	LOC100910237
NM_001271317	Eya4
NM_001032397	Tcf21
NM_001127201	Tbpl1
NM_019232	Sgk1
