chrom	chromStart	chromEnd	name	obsExp
chr1	28735	29810	CpG: 116	0.83
chr1	135124	135563	CpG: 30	0.64
chr1	327790	328229	CpG: 29	0.62
chr1	437151	438164	CpG: 84	0.64
chr1	449273	450544	CpG: 99	0.84
chr1	533219	534114	CpG: 94	1.04
chr1	544738	546649	CpG: 171	0.67
chr1	713984	714547	CpG: 60	0.92
chr1	762416	763445	CpG: 115	1.07
chr1	788863	789211	CpG: 28	1.06
chr1	801975	802338	CpG: 24	0.79
chr1	805198	805628	CpG: 50	0.87
chr1	839694	840619	CpG: 83	1.11
chr1	844299	845883	CpG: 153	0.85
chr1	854765	854973	CpG: 16	0.68
chr1	858970	861632	CpG: 257	1.02
chr1	869332	871872	CpG: 178	0.64
chr1	875730	878363	CpG: 246	0.75
chr1	886356	886602	CpG: 18	0.67
chr1	894313	902654	CpG: 615	0.68
chr1	906296	906538	CpG: 23	0.74
chr1	912869	913153	CpG: 28	0.97
chr1	919726	919927	CpG: 15	0.63
chr1	933387	937410	CpG: 413	0.89
chr1	948670	948894	CpG: 19	0.89
chr1	949329	949851	CpG: 35	0.62
chr1	954768	956343	CpG: 148	1.11
chr1	963795	964507	CpG: 54	0.64
chr1	967966	970238	CpG: 185	0.9
chr1	975496	980305	CpG: 351	0.69
chr1	981068	981400	CpG: 26	0.7
chr1	982152	982511	CpG: 26	0.61
chr1	983174	983612	CpG: 32	0.62
chr1	984206	984429	CpG: 19	0.72
chr1	990274	990694	CpG: 29	0.64
chr1	994436	995303	CpG: 98	0.87
chr1	999678	999911	CpG: 20	0.67
chr1	1002663	1005318	CpG: 213	0.75
chr1	1011509	1013402	CpG: 122	0.62
chr1	1016863	1017439	CpG: 41	0.61
chr1	1018099	1018390	CpG: 30	0.82
chr1	1019818	1020026	CpG: 15	0.6
chr1	1023143	1023347	CpG: 19	0.89
chr1	1024075	1024614	CpG: 44	0.7
chr1	1026377	1026625	CpG: 20	0.64
chr1	1027509	1027730	CpG: 18	0.62
chr1	1046044	1046340	CpG: 25	0.93
chr1	1050515	1050830	CpG: 31	1.17
chr1	1051178	1052445	CpG: 151	1.01
chr1	1072369	1072847	CpG: 52	0.84
chr1	1093211	1093476	CpG: 25	0.64
chr1	1098043	1100584	CpG: 183	0.69
chr1	1109314	1110145	CpG: 59	0.71
chr1	1115574	1116006	CpG: 32	0.61
chr1	1132827	1133218	CpG: 40	0.75
chr1	1136360	1137156	CpG: 105	0.86
chr1	1141670	1142150	CpG: 55	0.9
chr1	1145568	1145878	CpG: 25	0.7
chr1	1146708	1146914	CpG: 16	0.67
chr1	1149055	1149524	CpG: 38	0.62
chr1	1152522	1153134	CpG: 71	1.04
chr1	1153784	1154419	CpG: 44	0.65
chr1	1159168	1159528	CpG: 27	0.68
chr1	1161959	1162281	CpG: 24	0.69
chr1	1163502	1163895	CpG: 34	0.7
chr1	1167001	1168985	CpG: 240	1.12
chr1	1173915	1174263	CpG: 27	0.61
chr1	1177885	1178207	CpG: 26	0.66
chr1	1181756	1182470	CpG: 81	0.89
chr1	1189396	1190245	CpG: 68	0.72
chr1	1190522	1190799	CpG: 25	0.84
chr1	1203166	1203597	CpG: 31	0.72
chr1	1208515	1209942	CpG: 155	0.88
chr1	1228780	1230163	CpG: 130	0.83
chr1	1242400	1245185	CpG: 281	1.01
chr1	1247918	1248493	CpG: 41	0.63
chr1	1254322	1254548	CpG: 18	0.7
chr1	1259643	1260635	CpG: 114	0.92
chr1	1262665	1263420	CpG: 66	0.73
chr1	1265206	1265429	CpG: 20	1.16
chr1	1267085	1267286	CpG: 16	0.75
chr1	1267435	1268986	CpG: 116	0.64
chr1	1271425	1272074	CpG: 51	0.61
chr1	1272377	1272634	CpG: 20	0.69
chr1	1283933	1285345	CpG: 160	1.33
chr1	1289707	1291126	CpG: 152	1.07
chr1	1309140	1311039	CpG: 167	0.8
chr1	1322644	1322924	CpG: 25	0.98
chr1	1334071	1335602	CpG: 154	1.02
chr1	1342004	1342952	CpG: 98	0.99
chr1	1355159	1356000	CpG: 108	0.86
chr1	1361560	1361787	CpG: 20	0.63
chr1	1362954	1363299	CpG: 50	1.24
chr1	1370767	1371449	CpG: 83	1.14
chr1	1374461	1375584	CpG: 122	0.85
chr1	1389555	1389889	CpG: 27	0.7
chr1	1396085	1396338	CpG: 19	0.73
chr1	1406844	1407821	CpG: 119	1.11
chr1	1414034	1414532	CpG: 40	0.69
chr1	1417285	1417753	CpG: 42	0.76
chr1	1420226	1420684	CpG: 34	0.63
chr1	1444588	1444849	CpG: 19	0.67
chr1	1446878	1448205	CpG: 151	1.04
chr1	1452701	1453199	CpG: 40	0.69
chr1	1455302	1455892	CpG: 48	0.69
chr1	1456829	1457074	CpG: 18	0.67
chr1	1457954	1459029	CpG: 77	0.64
chr1	1464508	1464806	CpG: 23	0.67
chr1	1470604	1471450	CpG: 73	0.69
chr1	1473107	1473342	CpG: 21	1
chr1	1474962	1475220	CpG: 32	1.02
chr1	1476093	1476669	CpG: 55	0.7
chr1	1489532	1489794	CpG: 25	0.81
chr1	1496761	1496986	CpG: 16	0.89
chr1	1509482	1510747	CpG: 159	1.11
chr1	1534331	1536136	CpG: 160	1.13
chr1	1550453	1552015	CpG: 180	0.99
chr1	1558587	1559359	CpG: 73	0.74
chr1	1560780	1561055	CpG: 27	0.77
chr1	1562049	1562398	CpG: 30	0.71
chr1	1563674	1564032	CpG: 33	0.73
chr1	1564421	1570006	CpG: 470	0.69
chr1	1571032	1571470	CpG: 31	0.62
chr1	1580377	1580595	CpG: 25	0.98
chr1	1590073	1590942	CpG: 83	1.01
chr1	1600981	1601231	CpG: 21	0.78
chr1	1602391	1602686	CpG: 21	0.72
chr1	1607898	1608243	CpG: 27	0.82
chr1	1623610	1625067	CpG: 149	0.94
chr1	1631086	1633226	CpG: 173	0.7
chr1	1634252	1634690	CpG: 31	0.62
chr1	1643593	1643811	CpG: 25	0.98
chr1	1655395	1656231	CpG: 84	0.98
chr1	1670756	1671101	CpG: 27	0.82
chr1	1676885	1678333	CpG: 146	0.94
chr1	1685373	1685971	CpG: 48	0.72
chr1	1691767	1692063	CpG: 22	0.64
chr1	1709394	1710582	CpG: 126	1.12
chr1	1713639	1714141	CpG: 45	0.74
chr1	1821405	1823272	CpG: 187	1.36
chr1	1839958	1840601	CpG: 78	0.89
chr1	1850098	1851391	CpG: 120	0.77
chr1	1859246	1859523	CpG: 22	0.74
chr1	1874715	1875015	CpG: 25	0.66
chr1	1875617	1875877	CpG: 23	0.76
chr1	1886344	1886870	CpG: 46	0.81
chr1	1896414	1896628	CpG: 18	0.69
chr1	1897581	1897786	CpG: 17	0.74
chr1	1910268	1913800	CpG: 271	0.9
chr1	1935166	1935452	CpG: 32	0.94
chr1	1950411	1951479	CpG: 117	1.06
chr1	1957046	1957386	CpG: 35	0.91
chr1	1959414	1959867	CpG: 44	0.87
chr1	1960942	1961148	CpG: 15	0.77
chr1	1961407	1961850	CpG: 38	0.78
chr1	1974686	1974942	CpG: 22	0.7
chr1	1976123	1976628	CpG: 58	0.84
chr1	1981251	1983212	CpG: 195	0.92
chr1	1990779	1991171	CpG: 29	0.8
chr1	2005179	2005565	CpG: 36	0.95
chr1	2025205	2026225	CpG: 82	0.68
chr1	2038555	2038863	CpG: 21	0.67
chr1	2040997	2041302	CpG: 23	0.7
chr1	2046429	2046865	CpG: 32	0.73
chr1	2063782	2064052	CpG: 20	0.77
chr1	2064628	2064855	CpG: 26	0.91
chr1	2066367	2066666	CpG: 22	0.6
chr1	2082314	2082529	CpG: 17	0.9
chr1	2116432	2116801	CpG: 34	0.89
chr1	2121017	2121818	CpG: 55	0.75
chr1	2126048	2126642	CpG: 46	0.89
chr1	2136808	2137351	CpG: 70	0.94
chr1	2144199	2144497	CpG: 24	0.64
chr1	2158212	2161173	CpG: 238	1.26
chr1	2212020	2213881	CpG: 179	1.08
chr1	2222198	2222569	CpG: 26	0.77
chr1	2232310	2232617	CpG: 23	0.69
chr1	2235308	2235667	CpG: 30	0.69
chr1	2236442	2239069	CpG: 206	0.73
chr1	2245714	2247086	CpG: 135	0.8
chr1	2249315	2249634	CpG: 27	0.66
chr1	2253723	2254758	CpG: 75	0.62
chr1	2258097	2258423	CpG: 23	0.6
chr1	2259064	2259326	CpG: 24	0.74
chr1	2266007	2266432	CpG: 30	0.78
chr1	2276358	2276657	CpG: 24	0.79
chr1	2304159	2304376	CpG: 16	0.7
chr1	2316353	2316749	CpG: 37	0.75
chr1	2322481	2323764	CpG: 146	0.92
chr1	2333550	2334172	CpG: 43	0.72
chr1	2339876	2340246	CpG: 26	0.62
chr1	2343385	2344717	CpG: 133	0.9
chr1	2345891	2346156	CpG: 19	0.76
chr1	2359926	2360167	CpG: 24	0.8
chr1	2371846	2372073	CpG: 17	0.67
chr1	2374818	2375814	CpG: 107	0.94
chr1	2387669	2388086	CpG: 30	0.62
chr1	2398825	2399055	CpG: 27	0.77
chr1	2409757	2410049	CpG: 26	0.78
chr1	2411125	2411404	CpG: 24	0.72
chr1	2415198	2415506	CpG: 29	0.69
chr1	2433648	2434065	CpG: 36	0.63
chr1	2435041	2435257	CpG: 18	0.63
chr1	2435554	2435828	CpG: 24	0.67
chr1	2439797	2440022	CpG: 17	0.71
chr1	2440126	2440478	CpG: 30	0.92
chr1	2445355	2445648	CpG: 24	0.75
chr1	2449922	2450206	CpG: 25	0.82
chr1	2451217	2451551	CpG: 29	0.74
chr1	2452795	2453007	CpG: 16	0.63
chr1	2457241	2458259	CpG: 100	1
chr1	2460760	2462010	CpG: 105	1.12
chr1	2466934	2467212	CpG: 23	0.69
chr1	2472095	2472586	CpG: 49	0.9
chr1	2477563	2478363	CpG: 65	0.77
chr1	2517397	2518892	CpG: 133	0.92
chr1	2527239	2527503	CpG: 20	0.63
chr1	2537671	2537886	CpG: 19	0.81
chr1	2559892	2561055	CpG: 96	0.65
chr1	2574030	2574864	CpG: 86	0.76
chr1	2706025	2706961	CpG: 111	0.9
chr1	2716741	2717233	CpG: 41	0.65
chr1	2772126	2772665	CpG: 44	0.89
chr1	2777157	2777361	CpG: 15	0.66
chr1	2827785	2828294	CpG: 40	0.82
chr1	2847056	2847288	CpG: 19	0.65
chr1	2850665	2850873	CpG: 16	0.9
chr1	2876545	2876808	CpG: 21	0.65
chr1	2885062	2885284	CpG: 18	1.01
chr1	2886589	2886923	CpG: 23	0.77
chr1	2918497	2918753	CpG: 26	1.09
chr1	2929155	2929376	CpG: 22	0.74
chr1	2938633	2939043	CpG: 28	0.64
chr1	2979275	2980758	CpG: 126	0.88
chr1	2983925	2987962	CpG: 406	0.99
chr1	2990030	2990718	CpG: 82	0.87
chr1	2997272	2997473	CpG: 15	0.81
chr1	2999727	2999978	CpG: 19	0.65
chr1	3028179	3028557	CpG: 30	0.8
chr1	3038067	3038343	CpG: 20	0.67
chr1	3056541	3056772	CpG: 21	1.02
chr1	3059050	3059268	CpG: 17	0.75
chr1	3071899	3072239	CpG: 27	0.88
chr1	3080934	3081292	CpG: 29	0.85
chr1	3102540	3103352	CpG: 55	0.7
chr1	3104956	3105253	CpG: 27	0.93
chr1	3111579	3111909	CpG: 25	0.74
chr1	3147845	3148081	CpG: 19	0.81
chr1	3155160	3155361	CpG: 18	0.76
chr1	3157509	3158300	CpG: 61	0.66
chr1	3163969	3164643	CpG: 65	0.84
chr1	3182821	3183216	CpG: 33	0.78
chr1	3184546	3184824	CpG: 26	0.87
chr1	3195376	3196052	CpG: 47	0.61
